４２年前,1288,1288,5068,名詞,固有名詞,一般,*,*,*,42年前,ヨンジュウニネンマエ,ヨンジュウニネンマエ
四十二年前,1288,1288,1441,名詞,固有名詞,一般,*,*,*,42年前,ヨンジュウニネンマエ,ヨンジューニネンマエ
４３年前,1288,1288,4737,名詞,固有名詞,一般,*,*,*,43年前,ヨンジュウサンネンマエ,ヨンジュウサンネンマエ
四十三年前,1288,1288,1254,名詞,固有名詞,一般,*,*,*,43年前,ヨンジュウサンネンマエ,ヨンジューサンネンマエ
４４年前,1288,1288,5033,名詞,固有名詞,一般,*,*,*,44年前,ヨンジュウヨンネンマエ,ヨンジュウヨンネンマエ
四十四年前,1288,1288,2116,名詞,固有名詞,一般,*,*,*,44年前,ヨンジュウヨンネンマエ,ヨンジューヨンネンマエ
４５年前,1288,1288,3943,名詞,固有名詞,一般,*,*,*,45年前,ヨンジュウゴネンマエ,ヨンジュウゴネンマエ
四十五年前,1288,1288,2151,名詞,固有名詞,一般,*,*,*,45年前,ヨンジュウゴネンマエ,ヨンジューゴネンマエ
４６年前,1288,1288,4418,名詞,固有名詞,一般,*,*,*,46年前,ヨンジュウロクネンマエ,ヨンジュウロクネンマエ
四十六年前,1288,1288,996,名詞,固有名詞,一般,*,*,*,46年前,ヨンジュウロクネンマエ,ヨンジューロクネンマエ
４７年前,1288,1288,5085,名詞,固有名詞,一般,*,*,*,47年前,ヨンジュウナナネンマエ,ヨンジュウナナネンマエ
四十七年前,1288,1288,1511,名詞,固有名詞,一般,*,*,*,47年前,ヨンジュウナナネンマエ,ヨンジューナナネンマエ
４８年前,1288,1288,4888,名詞,固有名詞,一般,*,*,*,48年前,ヨンジュウハチネンマエ,ヨンジュウハチネンマエ
四十八年前,1288,1288,2136,名詞,固有名詞,一般,*,*,*,48年前,ヨンジュウハチネンマエ,ヨンジューハチネンマエ
４９年前,1288,1288,6099,名詞,固有名詞,一般,*,*,*,49年前,ヨンジュウキュウネンマエ,ヨンジュウキューネンマエ
四十九年前,1288,1288,2624,名詞,固有名詞,一般,*,*,*,49年前,ヨンジュウキュウネンマエ,ヨンジューキューネンマエ
５０年前,1288,1288,3435,名詞,固有名詞,一般,*,*,*,50年前,ゴジュウネンマエ,ゴジュウネンマエ
五十年前,1288,1288,2619,名詞,固有名詞,一般,*,*,*,50年前,ゴジュウネンマエ,ゴジューネンマエ
５１年前,1288,1288,2730,名詞,固有名詞,一般,*,*,*,51年前,ゴジュウイチネンマエ,ゴジュウイチネンマエ
五十一年前,1288,1288,2043,名詞,固有名詞,一般,*,*,*,51年前,ゴジュウイチネンマエ,ゴジューイチネンマエ
５２年前,1288,1288,3978,名詞,固有名詞,一般,*,*,*,52年前,ゴジュウニネンマエ,ゴジュウニネンマエ
五十二年前,1288,1288,1477,名詞,固有名詞,一般,*,*,*,52年前,ゴジュウニネンマエ,ゴジューニネンマエ
５３年前,1288,1288,3647,名詞,固有名詞,一般,*,*,*,53年前,ゴジュウサンネンマエ,ゴジュウサンネンマエ
五十三年前,1288,1288,1290,名詞,固有名詞,一般,*,*,*,53年前,ゴジュウサンネンマエ,ゴジューサンネンマエ
５４年前,1288,1288,3943,名詞,固有名詞,一般,*,*,*,54年前,ゴジュウヨンネンマエ,ゴジュウヨンネンマエ
五十四年前,1288,1288,2151,名詞,固有名詞,一般,*,*,*,54年前,ゴジュウヨンネンマエ,ゴジューヨンネンマエ
５５年前,1288,1288,2853,名詞,固有名詞,一般,*,*,*,55年前,ゴジュウゴネンマエ,ゴジュウゴネンマエ
五十五年前,1288,1288,2187,名詞,固有名詞,一般,*,*,*,55年前,ゴジュウゴネンマエ,ゴジューゴネンマエ
５６年前,1288,1288,3328,名詞,固有名詞,一般,*,*,*,56年前,ゴジュウロクネンマエ,ゴジュウロクネンマエ
五十六年前,1288,1288,1032,名詞,固有名詞,一般,*,*,*,56年前,ゴジュウロクネンマエ,ゴジューロクネンマエ
５７年前,1288,1288,3995,名詞,固有名詞,一般,*,*,*,57年前,ゴジュウナナネンマエ,ゴジュウナナネンマエ
五十七年前,1288,1288,1546,名詞,固有名詞,一般,*,*,*,57年前,ゴジュウナナネンマエ,ゴジューナナネンマエ
５８年前,1288,1288,3798,名詞,固有名詞,一般,*,*,*,58年前,ゴジュウハチネンマエ,ゴジュウハチネンマエ
五十八年前,1288,1288,2172,名詞,固有名詞,一般,*,*,*,58年前,ゴジュウハチネンマエ,ゴジューハチネンマエ
５９年前,1288,1288,5009,名詞,固有名詞,一般,*,*,*,59年前,ゴジュウキュウネンマエ,ゴジュウキューネンマエ
五十九年前,1288,1288,2660,名詞,固有名詞,一般,*,*,*,59年前,ゴジュウキュウネンマエ,ゴジューキューネンマエ
６０年前,1288,1288,3911,名詞,固有名詞,一般,*,*,*,60年前,ロクジュウネンマエ,ロクジュウネンマエ
六十年前,1288,1288,1464,名詞,固有名詞,一般,*,*,*,60年前,ロクジュウネンマエ,ロクジューネンマエ
６１年前,1288,1288,3206,名詞,固有名詞,一般,*,*,*,61年前,ロクジュウイチネンマエ,ロクジュウイチネンマエ
六十一年前,1288,1288,889,名詞,固有名詞,一般,*,*,*,61年前,ロクジュウイチネンマエ,ロクジューイチネンマエ
６２年前,1288,1288,4453,名詞,固有名詞,一般,*,*,*,62年前,ロクジュウニネンマエ,ロクジュウニネンマエ
六十二年前,1288,1288,323,名詞,固有名詞,一般,*,*,*,62年前,ロクジュウニネンマエ,ロクジューニネンマエ
６３年前,1288,1288,4122,名詞,固有名詞,一般,*,*,*,63年前,ロクジュウサンネンマエ,ロクジュウサンネンマエ
六十三年前,1288,1288,136,名詞,固有名詞,一般,*,*,*,63年前,ロクジュウサンネンマエ,ロクジューサンネンマエ
６４年前,1288,1288,4418,名詞,固有名詞,一般,*,*,*,64年前,ロクジュウヨンネンマエ,ロクジュウヨンネンマエ
六十四年前,1288,1288,997,名詞,固有名詞,一般,*,*,*,64年前,ロクジュウヨンネンマエ,ロクジューヨンネンマエ
６５年前,1288,1288,3328,名詞,固有名詞,一般,*,*,*,65年前,ロクジュウゴネンマエ,ロクジュウゴネンマエ
六十五年前,1288,1288,1033,名詞,固有名詞,一般,*,*,*,65年前,ロクジュウゴネンマエ,ロクジューゴネンマエ
